player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
29,B. E. Barbulescu .,Romania,01.01.1970,,2021,singles,,0,2,2,,,2,2,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2023,doubles,1336,0,7,8,3,3,4,5,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2023,singles,1300,0,7,9,2,2,5,7,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2024,singles,1265,0,2,3,,,2,3,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2024,doubles,1396,0,1,1,,,1,1,,
30,I. D. Amariei,Romania,30.07.2002,,2022,doubles,579,4,32,16,2,3,30,13,,
30,I. D. Amariei,Romania,30.07.2002,,2021,doubles,1022,0,8,7,0,1,8,6,,
30,I. D. Amariei,Romania,30.07.2002,,2020,doubles,974,0,1,2,,,1,2,,
30,I. D. Amariei,Romania,30.07.2002,,2022,singles,629,2,36,23,5,4,31,19,,
30,I. D. Amariei,Romania,30.07.2002,,2021,singles,1117,0,5,5,0,1,5,4,,
30,I. D. Amariei,Romania,30.07.2002,,2020,singles,,0,1,1,,,1,1,,
30,I. D. Amariei,Romania,30.07.2002,,2023,doubles,403,1,26,22,4,4,22,18,,
30,I. D. Amariei,Romania,30.07.2002,,2023,singles,362,3,46,27,2,4,44,23,,
30,I. D. Amariei,Romania,30.07.2002,,2024,singles,326,0,7,3,,,7,3,,
30,I. D. Amariei,Romania,30.07.2002,,2024,doubles,408,0,0,1,,,0,1,,
31,Z. Bouzo,Spain,06.09.1999,,2022,doubles,708,2,16,13,0,1,16,12,,
31,Z. Bouzo,Spain,06.09.1999,,2021,doubles,780,0,9,8,5,4,4,4,,
31,Z. Bouzo,Spain,06.09.1999,,2020,doubles,686,0,5,3,3,2,2,1,,
31,Z. Bouzo,Spain,06.09.1999,,2022,singles,721,0,22,22,2,5,20,17,,
31,Z. Bouzo,Spain,06.09.1999,,2021,singles,811,0,12,12,8,6,4,6,,
31,Z. Bouzo,Spain,06.09.1999,,2020,singles,857,0,4,5,4,3,0,2,,
31,Z. Bouzo,Spain,06.09.1999,,2023,doubles,604,0,17,15,7,6,10,9,,
31,Z. Bouzo,Spain,06.09.1999,,2023,singles,682,1,22,23,14,11,8,12,,
31,Z. Bouzo,Spain,06.09.1999,,2024,doubles,733,0,3,6,3,6,,,,
31,Z. Bouzo,Spain,06.09.1999,,2024,singles,710,0,13,12,13,12,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2022,doubles,1095,0,8,18,6,6,2,12,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2021,doubles,1245,0,5,7,3,4,2,3,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2019,doubles,1111,0,1,0,1,0,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2017,doubles,,0,0,1,0,1,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2022,singles,1030,0,10,16,2,6,8,10,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2021,singles,1548,0,0,3,0,3,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2020,singles,1328,0,0,1,,,0,1,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2017,singles,,0,0,1,0,1,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2023,doubles,892,1,14,13,6,3,8,10,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2023,singles,1075,0,5,21,2,4,3,13,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2024,doubles,1072,0,0,4,0,4,,,,
32,S. Yuldasheva,Uzbekistan,09.01.2002,,2024,singles,1117,0,1,3,0,2,1,1,,
