id_match,bookmaker,cote_Home,cote_Away
11950162,Marathon,1.61,2.32
11950162,Unibet,2.50,1.50
11950162,Betfair,1.77,2.26
11950162,Betsson,1.62,2.30
11950162,188bet,1.60,2.30
11950162,Pncl,1.67,2.35
11950162,Sbo,1.63,2.20
11950162,1xbet,1.62,2.32
11950162,Betano,1.62,2.30
11950162,Betway,1.65,2.25
11950162,Tipico,1.57,2.35
11950162,Betcris,1.61,2.28
11950166,NordicBet,2.25,1.65
11950166,10Bet,2.25,1.60
11950166,bet365,2.30,1.61
11950166,Marathon,2.38,1.59
11950166,Unibet,2.30,1.62
11950166,Betfair,2.40,1.69
11950166,Betsson,2.25,1.65
11950166,188bet,2.22,1.64
11950166,Pncl,2.35,1.67
11950166,Sbo,2.20,1.63
11950166,1xbet,2.32,1.62
11950166,Betano,2.25,1.65
11950166,Betway,2.25,1.65
11950166,Tipico,2.25,1.62
11950166,Betcris,2.28,1.61
11950171,NordicBet,4.80,1.18
11950171,10Bet,4.50,1.17
11950171,bet365,5.00,1.16
11950171,Marathon,4.95,1.18
11950171,Unibet,4.75,1.20
11950171,Betfair,5.30,1.22
11950171,Betsson,4.80,1.18
11950171,188bet,5.00,1.16
11950171,Pncl,5.19,1.20
11950171,Sbo,4.44,1.13
11950171,1xbet,5.05,1.18
11950171,Betano,4.80,1.19
11950171,Betway,4.75,1.18
11950171,Tipico,5.00,1.16
11950171,Betcris,4.80,1.17
11950172,NordicBet,1.42,2.90
11950172,10Bet,1.40,2.80
11950172,bet365,1.44,2.75
11950172,Marathon,1.42,2.88
11950172,Unibet,1.43,2.85
11950172,Betfair,1.46,3.05
11950172,Betsson,1.42,2.90
11950172,188bet,1.41,2.85
11950172,Pncl,1.46,2.94
11950172,Sbo,1.43,2.63
11950172,1xbet,1.46,2.78
11950172,Betano,1.45,2.77
11950172,Betway,1.44,2.75
11950172,Tipico,1.37,3.00
11950172,Betcris,1.42,2.80
11950176,NordicBet,1.14,5.60
11950176,10Bet,1.14,5.00
11950176,bet365,1.12,6.00
11950176,Marathon,1.14,5.75
11950176,Unibet,1.14,6.00
11950176,Betfair,1.17,6.40
11950176,Betsson,1.14,5.60
11950176,188bet,1.12,5.80
11950176,Pncl,1.16,6.07
11950176,Sbo,1.10,4.84
11950176,1xbet,1.14,6.05
11950176,Betano,1.15,5.60
11950176,Betway,1.12,6.00
11950176,Tipico,1.11,6.20
11950176,Betcris,1.13,5.80
11950177,NordicBet,1.42,2.90
11950177,10Bet,1.40,2.80
11950177,bet365,1.40,3.00
11950177,Marathon,1.41,2.92
11950177,Unibet,1.40,3.00
11950177,Betfair,1.47,3.05
11950177,Betsson,1.42,2.90
11950177,188bet,1.39,2.96
11950177,Pncl,1.43,3.06
11950177,Sbo,1.34,2.92
11950177,1xbet,1.40,3.00
11950177,Betano,1.39,3.05
11950177,Betway,1.38,3.00
11950177,Tipico,1.40,2.90
11950177,Betcris,1.39,2.95
11950178,NordicBet,1.60,2.35
11950178,10Bet,1.55,2.35
11950178,bet365,1.57,2.37
11950178,Marathon,1.55,2.46
11950178,Unibet,1.56,2.43
11950178,Betfair,1.62,2.56
11950178,Betsson,1.60,2.35
11950178,188bet,1.56,2.38
11950178,Pncl,1.62,2.45
11950178,Sbo,1.58,2.31
11950178,1xbet,1.58,2.40
11950178,Betano,1.57,2.40
11950178,Betway,1.60,2.30
11950178,Tipico,1.55,2.40
11950178,Betcris,1.55,2.40
11950180,NordicBet,2.35,1.60
11950180,10Bet,2.30,1.57
11950180,bet365,2.20,1.66
11950180,Marathon,2.38,1.59
11950180,Unibet,2.38,1.58
11950180,Betfair,2.46,1.66
11950180,Betsson,2.35,1.60
11950180,188bet,2.28,1.61
11950180,Pncl,2.45,1.62
11950180,Sbo,2.28,1.58
11950180,1xbet,2.22,1.68
11950180,Betano,2.37,1.60
11950180,Betway,2.25,1.65
11950180,Tipico,2.35,1.57
11950180,Betcris,2.28,1.61
11950183,NordicBet,1.30,3.60
11950183,10Bet,1.33,3.20
11950183,bet365,1.28,3.75
11950183,Marathon,1.31,3.46
11950183,Unibet,1.30,3.55
11950183,Betfair,1.36,3.70
11950183,Betsson,1.30,3.60
11950183,188bet,1.28,3.30
11950183,Pncl,1.33,3.64
11950183,Sbo,1.28,3.27
11950183,1xbet,1.32,3.42
11950183,Betano,1.29,3.65
11950183,Betway,1.30,3.50
11950183,Tipico,1.28,3.60
11950183,Betcris,1.28,3.60
11950460,NordicBet,3.40,1.32
11950460,10Bet,3.40,1.28
11950460,bet365,3.75,1.28
11950460,Marathon,3.46,1.31
11950460,Unibet,3.40,1.32
11950460,Betfair,3.80,1.34
11950460,Betsson,3.40,1.32
11950460,188bet,4.10,1.22
11950460,Pncl,3.68,1.33
11950460,Sbo,3.38,1.26
11950460,1xbet,3.74,1.28
11950460,Betano,3.60,1.30
11950460,Betway,3.50,1.30
11950460,Tipico,3.70,1.27
11950460,Betcris,3.55,1.29
11950464,NordicBet,5.30,1.16
11950464,10Bet,5.00,1.14
11950464,bet365,5.00,1.16
11950464,Marathon,5.10,1.17
11950464,Unibet,5.00,1.17
11950464,Betfair,6.60,1.17
11950464,Betsson,5.30,1.16
11950464,188bet,5.60,1.10
11950464,Pncl,5.84,1.17
11950464,Sbo,4.70,1.11
11950464,1xbet,4.98,1.18
11950464,Betano,4.90,1.18
11950464,Betway,5.50,1.15
11950464,Tipico,5.20,1.15
11950464,Betcris,5.00,1.16
11950466,NordicBet,2.05,1.78
11950466,10Bet,2.00,1.75
11950466,bet365,2.00,1.80
11950466,Marathon,2.06,1.77
11950466,Unibet,2.18,1.65
11950466,Betfair,2.18,1.83
11950466,Betsson,2.05,1.78
11950466,188bet,2.05,1.75
11950466,Pncl,2.12,1.81
11950466,Sbo,2.07,1.73
11950466,1xbet,2.06,1.77
11950466,Betano,2.05,1.78
11950466,Betway,2.20,1.65
11950466,Tipico,2.10,1.72
11950466,Betcris,2.06,1.74
11950468,NordicBet,1.65,2.25
11950468,10Bet,1.65,2.20
11950468,bet365,1.66,2.20
11950468,Marathon,1.63,2.28
11950468,Unibet,1.62,2.30
11950468,Betfair,1.70,2.38
11950468,Betsson,1.65,2.25
11950468,Pncl,1.68,2.32
11950468,Sbo,1.63,2.20
11950468,1xbet,1.65,2.26
11950468,Betano,1.65,2.25
11950468,Betway,1.65,2.25
11950468,Tipico,1.57,2.35
11950468,Betcris,1.64,2.21
11950469,NordicBet,1.98,1.82
11950469,10Bet,1.95,1.80
11950469,bet365,2.00,1.80
11950469,Marathon,1.95,1.86
11950469,Unibet,1.98,1.82
11950469,Betfair,2.06,1.93
11950469,Betsson,1.98,1.82
11950469,188bet,1.94,1.84
11950469,Pncl,2.03,1.88
11950469,Sbo,1.92,1.88
11950469,1xbet,2.02,1.82
11950469,Betano,1.98,1.85
11950469,Betway,1.95,1.85
11950469,Tipico,1.97,1.80
11950469,Betcris,1.97,1.81
11950471,NordicBet,2.70,1.48
11950471,10Bet,2.62,1.45
11950471,bet365,2.75,1.44
11950471,Marathon,2.73,1.46
11950471,Unibet,2.60,1.50
11950471,Betfair,2.92,1.51
