point_id,number_point,score,break_point,set_point,match_point
878,4,30 - 30,,,
879,5,40 - 30,,,
880,6,40 - 40,,,
881,7,40 - A,First Play,,
882,8,40 - 40,,,
883,9,A - 40,,,
884,1,0 - 15,,,
885,2,0 - 30,,,
886,3,0 - 40,,,
887,4,15 - 40,,,
888,5,30 - 40,,,
889,1,15 - 0,,,
890,2,30 - 0,,,
891,3,40 - 0,,First Play,First Play
892,4,40 - 15,,First Play,First Play
893,5,40 - 30,,First Play,First Play
894,1,15 - 0,,,
895,2,30 - 0,,,
896,3,40 - 0,,,
897,1,0 - 15,,,
898,2,0 - 30,,,
899,3,15 - 30,,,
900,4,15 - 40,,,
901,1,0 - 15,,,
902,2,0 - 30,,,
903,3,15 - 30,,,
904,4,30 - 30,,,
905,5,40 - 30,,,
906,1,0 - 15,,,
907,2,0 - 30,,,
908,3,0 - 40,,,
909,4,15 - 40,,,
910,1,15 - 0,,,
911,2,15 - 15,,,
912,3,15 - 30,,,
913,4,15 - 40,First Play,,
914,5,30 - 40,First Play,,
915,6,40 - 40,,,
916,7,40 - A,First Play,,
917,8,40 - 40,,,
918,9,A - 40,,,
919,10,40 - 40,,,
920,11,A - 40,,,
921,1,0 - 15,,,
922,2,0 - 30,,,
923,3,15 - 30,,,
924,4,15 - 40,,,
925,5,30 - 40,,,
926,1,15 - 0,,,
927,2,30 - 0,,,
928,3,30 - 15,,,
929,4,30 - 30,,,
930,5,30 - 40,First Play,,
931,6,40 - 40,,,
932,7,A - 40,,,
933,1,15 - 0,,,
934,2,15 - 15,,,
935,3,15 - 30,,,
936,4,15 - 40,,,
937,5,30 - 40,,,
938,6,40 - 40,,,
939,7,A - 40,First Play,,
940,8,40 - 40,,,
941,9,40 - A,,,
942,10,40 - 40,,,
943,11,A - 40,First Play,,
944,1,0 - 15,,,
945,2,0 - 30,,,
946,3,0 - 40,First Play,,
947,1,0 - 15,,,
948,2,0 - 30,,,
949,3,0 - 40,,,
950,4,15 - 40,,,
951,1,0 - 15,,,
952,2,0 - 30,,,
953,3,15 - 30,,,
954,4,15 - 40,First Play,,
955,5,30 - 40,First Play,,
956,6,40 - 40,,,
957,7,A - 40,,,
958,1,0 - 15,,,
959,2,0 - 30,,,
960,3,0 - 40,,,
961,4,15 - 40,,,
962,1, - ,,,
963,1,0 - 15,,,
964,2,0 - 30,,,
965,3,15 - 30,,,
966,4,15 - 40,,,
967,1,15 - 0,,,
968,2,15 - 15,,,
969,3,30 - 15,,,
970,4,40 - 15,,,
971,1,0 - 15,,,
972,2,15 - 15,,,
973,3,15 - 30,,,
974,4,15 - 40,,,
975,5,30 - 40,,,
976,6,40 - 40,,,
977,7,A - 40,First Play,,
978,1,15 - 0,,,
979,2,15 - 15,,,
980,3,30 - 15,,,
981,4,40 - 15,,,
982,5,40 - 30,,,
983,6,40 - 40,,,
984,7,A - 40,,,
985,8,40 - 40,,,
986,9,A - 40,,,
987,1,0 - 15,,,
988,2,0 - 30,,,
989,3,15 - 30,,,
990,4,30 - 30,,,
991,5,30 - 40,,,
992,1,15 - 0,,,
993,2,15 - 15,,,
994,3,30 - 15,,,
995,4,40 - 15,,,
996,1,0 - 15,,,
997,2,0 - 30,,,
998,3,0 - 40,,,
999,4,15 - 40,,,
1000,1,0 - 15,,,
1001,2,15 - 15,,,
1002,3,15 - 30,,,
1003,4,30 - 30,,,
1004,5,40 - 30,,,
1005,1,0 - 15,,,
1006,2,15 - 15,,,
1007,3,15 - 30,,,
1008,4,15 - 40,,,
1009,5,30 - 40,,,
1010,1,15 - 0,,,
1011,2,30 - 0,,,
1012,3,30 - 15,,,
1013,4,40 - 15,,First Play,First Play
1014,1,15 - 0,,,
1015,2,30 - 0,,,
1016,3,30 - 15,,,
1017,4,40 - 15,First Play,,
1018,5,40 - 30,First Play,,
1019,6,40 - 40,,,
1020,7,40 - A,,,
1021,1,15 - 0,,,
1022,2,30 - 0,,,
1023,3,40 - 0,,,
1024,4,40 - 15,,,
1025,1,0 - 15,,,
1026,2,0 - 30,,,
1027,3,0 - 40,,,
1028,4,15 - 40,,,
1029,5,30 - 40,,,
1030,1,0 - 15,,,
1031,2,0 - 30,,,
1032,3,0 - 40,First Play,,
1033,4,15 - 40,First Play,,
1034,5,30 - 40,First Play,,
1035,6,40 - 40,,,
1036,7,A - 40,,,
1037,8,40 - 40,,,
1038,9,A - 40,,,
1039,1,0 - 15,,,
